experiment,env,seed,budget,model,one_step_rmse,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
matched_planner,coupled_oscillator_stabilization,0,64,SG-Ham+Symp,0.0001929822089589539,-35.593684931418984,6.746345211214792,0.16293172588762325,0.024245624991779124,0.005296808431694,1.83105089948405,0.0
matched_planner,coupled_oscillator_stabilization,0,64,DirectGraphNext,2.0072941526813494e-05,-35.36510737000609,6.626744015036368,0.1605799618526688,0.022950000586503306,0.00035615736874428094,1.8355190948603193,0.0
matched_planner,coupled_oscillator_stabilization,0,128,SG-Ham+Symp,0.00014529639823371635,-41.879492814356034,4.383233855863616,0.17057006600818236,0.024094029358952884,0.003502368862097427,1.7535823735770155,0.0
matched_planner,coupled_oscillator_stabilization,0,128,DirectGraphNext,1.991907658901439e-05,-41.99305439941234,4.371127703190829,0.1713462007162597,0.024592607364085563,0.0003908645550752728,1.7525158276866268,0.0
matched_planner,coupled_oscillator_stabilization,0,256,SG-Ham+Symp,0.00012133497240187116,-29.44509224731674,4.404104943834707,0.14261676249163932,0.039378742449907,0.00017598240099185128,1.7938618250435134,0.0
matched_planner,coupled_oscillator_stabilization,0,256,DirectGraphNext,1.973998858213247e-05,-29.396173713792674,4.400741778459971,0.14244548863094414,0.03918223825710557,0.00026557126715331947,1.7943696189098073,0.0
matched_planner,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,0.000126264688631687,-36.07939366754199,9.856625516119387,0.16000860240770345,0.03519572654387388,0.0025760211934090136,1.5901315928689834,0.0
matched_planner,coupled_oscillator_stabilization,0,512,DirectGraphNext,1.9711036711625417e-05,-36.040431260574074,9.85756215355894,0.1610332395756311,0.035822901821446464,0.0005921484512311596,1.589633727155827,0.0
matched_planner,coupled_oscillator_stabilization,0,1024,SG-Ham+Symp,0.00012937888369666837,-31.914071727734243,8.757693185799587,0.18653077280574829,0.046505167401193336,0.0022547895282355825,1.2968606668989235,0.0
matched_planner,coupled_oscillator_stabilization,0,1024,DirectGraphNext,1.9700864546573394e-05,-31.966333680016586,8.766059436957299,0.18553186094432825,0.04480844102048901,0.0003705801467028813,1.2965827131492107,0.0
matched_planner,spring_chain_target,0,64,SG-Ham+Symp,0.00011613573227018253,-9.236590362509352,2.018015256868163,0.015518168211468448,0.009056019113919988,-0.0009959493805818953,0.30058806745242156,0.0
matched_planner,spring_chain_target,0,64,DirectGraphNext,1.8895407646702606e-05,-9.23704834386668,2.016784566938699,0.01567171872459647,0.008999608872547398,-5.411633063652962e-05,0.30163649552664895,0.0
matched_planner,spring_chain_target,0,128,SG-Ham+Symp,0.00010368201076285126,-14.253643241127705,2.351534183408668,0.01207001888509106,0.004856584091055847,-0.0011450969302975917,0.3794425461105866,0.0
matched_planner,spring_chain_target,0,128,DirectGraphNext,1.8915506869856838e-05,-14.25944550380777,2.3497246724898644,0.012475133386885754,0.004760556459410738,-0.0001147601943933078,0.38117136527971596,0.0
matched_planner,spring_chain_target,0,256,SG-Ham+Symp,9.603812397071697e-05,-10.88062936913016,1.3175674207598551,0.004796791557591852,0.0017100703699630764,-0.0009895334561914975,0.45922220454058554,0.0
matched_planner,spring_chain_target,0,256,DirectGraphNext,1.889880575402945e-05,-10.881585436150381,1.3171934829519818,0.004889794930353395,0.0018002412223238323,-0.0001003611427402203,0.4612806084926075,0.0
matched_planner,spring_chain_target,0,512,SG-Ham+Symp,0.00010197752682343803,-10.533169096493483,2.6231236919240275,0.012049771145671004,0.006623499846761695,-0.0010050544175323288,0.47450296844700324,0.0
matched_planner,spring_chain_target,0,512,DirectGraphNext,1.887560917703702e-05,-10.531781425495835,2.623129521074805,0.012415144561547395,0.006850916038215044,-8.413659867782346e-05,0.4779589086107898,0.0
matched_planner,spring_chain_target,0,1024,SG-Ham+Symp,9.958467734259013e-05,-9.66052137459212,1.0891135000772343,0.028287544636915404,0.017538222490162878,-0.00085770806335043,0.3602240627265376,0.0
matched_planner,spring_chain_target,0,1024,DirectGraphNext,1.8884518475715012e-05,-9.67000435628864,1.0843785299362183,0.028411012540085937,0.017441994132213156,-0.00010163927463402445,0.3633656488236127,0.0
matched_planner,coupled_oscillator_stabilization,1,64,SG-Ham+Symp,0.00015267115924107446,-49.39702489502374,9.518761851483076,0.30692535260180237,0.0790029097346314,-0.005213637770021447,1.950443406489322,0.0
matched_planner,coupled_oscillator_stabilization,1,64,DirectGraphNext,1.9948502321801477e-05,-49.4497184662787,9.493117235592228,0.30895775865983494,0.07715314270901565,0.0004966725095256012,1.9537781711788733,0.0
