experiment,env,seed,budget,model,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate,rollout_rmse,max_energy_drift
ablation,coupled_oscillator_stabilization,0,512,DenseLinearNext,-43.795751651504425,7.956884700234183,0.1985937072498122,0.07473447432604491,5.265652732511228e-06,1.9703401395017839,0.0,1.743796476795428e-06,0.0008822924885265997
ablation,coupled_oscillator_stabilization,0,512,DirectGraphNext,-43.95498091741329,7.973444532020606,0.20236790688053785,0.07407964365478266,0.0006849266464842666,1.9706855454419285,0.0,0.00022365531026272037,0.0008868022859559045
ablation,coupled_oscillator_stabilization,0,512,SympNoGraph,-44.436729792973615,8.118262804218565,0.2304839356889762,0.08277464494810362,0.7606540579652569,2.127380344009505,0.0,0.6729157244692733,0.15656412830997296
ablation,coupled_oscillator_stabilization,0,512,GraphEuler,-43.95498091741329,7.973444532020606,0.20236790688053785,0.07407964365478266,0.0006845348885734145,1.9706853086146203,0.0,0.00022364292706265792,0.0008866292693171487
ablation,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,-43.84330435201988,7.918774027443265,0.1961281478182982,0.0714377347505255,0.005558902110839388,1.9725202310152479,0.0,0.003072212800981463,0.0018807327521305002
ablation,spring_chain_target,0,512,DenseLinearNext,-11.193910410459281,1.5075216950691825,0.01152439389487537,0.0038748772081731437,1.5137781589717274e-06,0.4978126501175832,0.0,6.756306071708244e-06,0.0011199292926683622
ablation,spring_chain_target,0,512,DirectGraphNext,-11.196085653447271,1.5077949933021582,0.01176067113679654,0.003957490322695333,-4.628943833277314e-05,0.4977982454047601,0.0,0.00014637287621249194,0.0011219793261253892
ablation,spring_chain_target,0,512,SympNoGraph,-11.22174103199734,1.54796390086468,0.012795877435602848,0.004095184901681911,-0.020908514042112653,0.5465678227763299,0.0,0.44041941028454523,0.17028634303466142
ablation,spring_chain_target,0,512,GraphEuler,-11.196085653447271,1.5077949933021582,0.01176067113679654,0.003957490322695333,-4.63858051317582e-05,0.49779871177308305,0.0,0.00014627570065102363,0.0011209085725513326
ablation,spring_chain_target,0,512,SG-Ham+Symp,-11.17199073807108,1.514438516639216,0.010831131998027899,0.003587048179886389,-0.000909772063672006,0.49567992907213326,0.0,0.001896474740187256,0.002295273753014101
