experiment,env,seed,horizon,model,one_step_rmse,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
nonlinear_dynamics,nonlinear_chain_stabilization,0,1,SG-PolyHam+Symp,1.71829494210549e-10,1.0814888611071333e-10,0.0001856402372596766,0.0001856402372596766,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,10,SG-PolyHam+Symp,1.71829494210549e-10,7.906474121509871e-10,0.0018763626538100125,0.001735303285563542,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,25,SG-PolyHam+Symp,1.71829494210549e-10,1.5285933585613072e-09,0.002090712021527444,0.001089672482027589,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,50,SG-PolyHam+Symp,1.71829494210549e-10,2.5687276023953733e-09,0.001638221221617173,0.0011115423259670163,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,100,SG-PolyHam+Symp,1.71829494210549e-10,4.651267488044436e-09,0.0018368407180226053,0.0012070341583402585,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,250,SG-PolyHam+Symp,1.71829494210549e-10,1.1684761165568197e-08,0.0014702799467145404,0.0008037711292552121,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,500,SG-PolyHam+Symp,1.71829494210549e-10,2.305625230485639e-08,0.0018278060813866532,0.0010950165273692514,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,1,DirectGraphNext,0.06037352899557352,0.025486107828316684,0.005777519074370491,0.005777519074370491,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,10,DirectGraphNext,0.06037352899557352,0.20892768072799509,0.25615524944396545,0.2529948144161277,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,25,DirectGraphNext,0.06037352899557352,0.3332334368429423,0.3662458145692467,0.14133423286748728,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,50,DirectGraphNext,0.06037352899557352,0.5435091298520097,0.4624004299861511,0.2857921134624901,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,100,DirectGraphNext,0.06037352899557352,1.0254648127104262,0.6349055187854983,0.5360659550106383,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,250,DirectGraphNext,0.06037352899557352,1.607330964035737,1.8766730842428696,1.7264009701465775,0.0
nonlinear_dynamics,nonlinear_chain_stabilization,0,500,DirectGraphNext,0.06037352899557352,2.0276667635736025,8.407686742128993,7.1611588281072684,0.0
