experiment,env,seed,budget,model,one_step_rmse,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
nonlinear_matched_planner,nonlinear_chain_stabilization,0,16,SG-PolyHam+Symp,5.1027806815858775e-09,-47.605767314314136,10.933006474427293,0.365383339993502,0.15221710559092214,-1.4788766951786178e-08,2.4686199594455975,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,16,DirectGraphNext,0.062035454392145126,-50.67745584024458,11.452187435176048,0.49073774371157425,0.17872358760666124,-5.783305861675982,3.1073686905463447,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,16,GraphEuler,0.06203545118697767,-50.67745584024458,11.452187435176048,0.49073774371157425,0.17872358760666124,-5.783330436629182,3.1073846212456933,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,32,SG-PolyHam+Symp,2.68638259759162e-09,-65.52885742546911,10.191424904424792,0.6700163385063963,0.16881790853186465,-1.0756989758201978e-07,2.849751288561722,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,32,DirectGraphNext,0.0607692786315287,-66.77260270146992,10.059685424214548,0.7553763585415689,0.17756492113744363,-2.4819474932536734,1.6216270164919688,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,32,GraphEuler,0.06076927814069876,-66.77260270146992,10.059685424214548,0.7553763585415689,0.17756492113744363,-2.48195917977406,1.6216268457704386,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,64,SG-PolyHam+Symp,1.3968793367615833e-09,-40.856506688067604,15.414929159914683,0.4005186701375906,0.2755198687429242,7.980982541511139e-09,2.172341730417364,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,64,DirectGraphNext,0.0604999163922129,-42.826860677075445,15.15920806959542,0.4808926657420472,0.27874087879619847,-0.8110051409395466,1.4540528009776048,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,64,GraphEuler,0.06049991630031677,-42.826860677075445,15.15920806959542,0.4808926657420472,0.27874087879619847,-0.8110106713545981,1.4540516858043961,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,128,SG-PolyHam+Symp,7.044628665377468e-10,-34.60748327780579,12.91526546745375,0.2774413695753819,0.15593830223146624,-8.360644473034048e-09,1.7729476385336398,0.0
nonlinear_matched_planner,nonlinear_chain_stabilization,0,128,DirectGraphNext,0.06055383652926619,-36.152398858160716,12.839637428928812,0.3450422865557918,0.16101622974007523,-1.4200482259135274,1.2232579780135941,0.0
