experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,harmonic_oscillator,0,1,SG-Ham+Symp,7.654760522049863e-05,5.694823478550146e-12,5.259299177028397e-05,8.315011388544567e-05,8.315011388544567e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,SG-Ham+Symp,7.654760522049863e-05,5.694823478550146e-12,0.0003110805561953233,0.000770285150700476,0.0007672539543906436,0.0
dynamics_rollout,harmonic_oscillator,0,50,SG-Ham+Symp,7.654760522049863e-05,5.694823478550146e-12,0.0013137513847350842,0.0023641620213983136,0.0009755096128586416,0.0
dynamics_rollout,harmonic_oscillator,0,100,SG-Ham+Symp,7.654760522049863e-05,5.694823478550146e-12,0.0024353729043522397,0.0023415604925716774,0.0018264891762623386,0.0
dynamics_rollout,harmonic_oscillator,0,1,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.9054114589626702e-08,1.8740939115284103e-05,1.8740939115284103e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.3743239267401845e-07,0.00017371737312549035,0.0001730170390068192,0.0
dynamics_rollout,harmonic_oscillator,0,50,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,7.613302893883362e-07,0.000533134715440444,0.00021954117173430838,0.0
dynamics_rollout,harmonic_oscillator,0,100,DirectGraphNext,2.5990007310184807e-08,9.17511152831105e-08,1.4669722072905352e-06,0.0005308756574194264,0.0004137631939002205,0.0
dynamics_rollout,harmonic_oscillator,0,1,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,9.606199563163974e-10,1.873592007747582e-05,1.873592007747582e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,6.930502049442105e-09,0.00017361052019971025,0.00017291541653987672,0.0
dynamics_rollout,harmonic_oscillator,0,50,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,3.82642924391234e-08,0.0005323953119918174,0.00021871947279213628,0.0
dynamics_rollout,harmonic_oscillator,0,100,GraphEuler,1.4483344622588918e-09,9.727538248317138e-11,7.377727884227667e-08,0.0005273805466374092,0.0004105460072007814,0.0
dynamics_rollout,harmonic_oscillator,0,1,SympNoGraph,7.654760522049863e-05,5.694823478550146e-12,5.259299177028397e-05,8.315011388544567e-05,8.315011388544567e-05,0.0
dynamics_rollout,harmonic_oscillator,0,10,SympNoGraph,7.654760522049863e-05,5.694823478550146e-12,0.0003110805561953233,0.000770285150700476,0.0007672539543906436,0.0
dynamics_rollout,harmonic_oscillator,0,50,SympNoGraph,7.654760522049863e-05,5.694823478550146e-12,0.0013137513847350842,0.0023641620213983136,0.0009755096128586416,0.0
dynamics_rollout,harmonic_oscillator,0,100,SympNoGraph,7.654760522049863e-05,5.694823478550146e-12,0.0024353729043522397,0.0023415604925716774,0.0018264891762623386,0.0
