experiment,env,seed,budget,model,one_step_rmse,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
matched_planner,coupled_oscillator_stabilization,0,64,SG-Ham+Symp,0.0001929822089589539,-29.958320707500317,10.637591417889274,0.9707607614611047,0.3687259109309284,0.004690328102295305,1.1500422719101773,0.0
matched_planner,coupled_oscillator_stabilization,0,64,DirectGraphNext,2.0072941526813494e-05,-29.958320707500317,10.637591417889274,0.9707607614611047,0.3687259109309284,0.0002738938353383791,1.1504847665270093,0.0
matched_planner,coupled_oscillator_stabilization,0,256,SG-Ham+Symp,0.00012133497240187116,-39.184958951297084,4.757167334340406,1.2112617663803242,0.24302366056006014,0.0011617375246109063,1.5781435478295902,0.0
matched_planner,coupled_oscillator_stabilization,0,256,DirectGraphNext,1.973998858213247e-05,-39.184958951297084,4.757167334340406,1.2112617663803242,0.24302366056006014,-2.1310565311960517e-05,1.5782061837237742,0.0
matched_planner,spring_chain_target,0,64,SG-Ham+Symp,0.00010043782779930739,-9.097914040240749,2.2581995492591433,0.06452207431453162,0.029792883446186042,-0.0007254511244986217,0.366063675327473,0.0
matched_planner,spring_chain_target,0,64,DirectGraphNext,1.8912223992655256e-05,-9.099014054455466,2.2582730072540227,0.06504071921308971,0.029676662141184668,-3.2160860478969155e-05,0.37054420027561924,0.0
matched_planner,spring_chain_target,0,256,SG-Ham+Symp,9.624859362399819e-05,-12.176004832474229,0.8651625187952029,0.08126901463170655,0.012253251747870885,-0.0010660050418487277,0.25792426799306944,0.0
matched_planner,spring_chain_target,0,256,DirectGraphNext,1.890558233717606e-05,-12.18953642852897,0.8627573206261167,0.08281036603444217,0.011264109658335785,-6.69693677652905e-05,0.2613925418217091,0.0
matched_planner,coupled_oscillator_stabilization,1,64,SG-Ham+Symp,0.00015267115924107446,-35.535883600220934,7.47552640266478,0.9421927338531786,0.3319651917552682,-0.002538698116716809,1.693828261460844,0.0
matched_planner,coupled_oscillator_stabilization,1,64,DirectGraphNext,1.9948502321801477e-05,-35.67339089672406,7.4516722676648754,0.9474234330845963,0.33099746795152246,4.767257969495731e-05,1.6859562860340496,0.0
matched_planner,coupled_oscillator_stabilization,1,256,SG-Ham+Symp,0.00014007040766407218,-43.16290103935457,9.447046352751755,1.0157575470281175,0.1960411318324149,0.00847686930666569,1.6714670279636195,0.0
matched_planner,coupled_oscillator_stabilization,1,256,DirectGraphNext,1.968047927488163e-05,-43.12301700558821,9.480975320691062,1.0113746656810605,0.19944423073313428,0.0007607169464631802,1.666629058326033,0.0
matched_planner,spring_chain_target,1,64,SG-Ham+Symp,0.00010296209138947657,-10.737870077083596,1.657558813669593,0.07529005705410051,0.018623815118083666,-0.001032905475252921,0.3456743269769217,0.0
matched_planner,spring_chain_target,1,64,DirectGraphNext,1.8932162590986608e-05,-10.737870077083596,1.657558813669593,0.07529005705410051,0.018623815118083666,-6.196185733187143e-05,0.3488727112263349,0.0
matched_planner,spring_chain_target,1,256,SG-Ham+Symp,9.533563860016839e-05,-13.91883105584085,1.1823634757262689,0.08774386453942704,0.021549190820539438,-0.0007651851007148824,0.5155063661531295,0.0
matched_planner,spring_chain_target,1,256,DirectGraphNext,1.892635092836145e-05,-13.91883105584085,1.1823634757262689,0.08774386453942704,0.021549190820539438,-8.999895186478923e-05,0.519432362615552,0.0
