experiment,env,seed,budget,model,planning_horizon,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,1,-27.897437829459548,5.663399328031823,0.7047961154715771,0.11689078622309598,-4.941554689674721e-05,0.395761236723311,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,5,-26.687765233214186,6.318086858317214,0.6083470695180521,0.18705506813372497,0.0012185096075630897,0.8619679701965121,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,10,-22.642129087924403,1.633564708410245,0.6106917787420749,0.03320753433563854,0.0018870263686281419,1.2276419654626423,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,1,-27.897437829459548,5.663399328031823,0.7047961154715771,0.11689078622309598,9.887826447840808e-06,0.3960436634248883,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,5,-26.693246675908398,6.320308192173092,0.609772605025916,0.18779238687977964,5.0861985813610566e-05,0.8608802532575279,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,DirectGraphNext,10,-22.642129087924403,1.633564708410245,0.6106917787420749,0.03320753433563854,0.0002930865414390027,1.2274508697189401,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,1,-27.897437829459548,5.663399328031823,0.7047961154715771,0.11689078622309598,9.879616887809028e-06,0.3960436294912286,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,5,-26.693246675908398,6.320308192173092,0.609772605025916,0.18779238687977964,5.0750143999578334e-05,0.860880119387953,0.0
planning_horizon,coupled_oscillator_stabilization,0,512,GraphEuler,10,-22.642129087924403,1.633564708410245,0.6106917787420749,0.03320753433563854,0.0002928541678075547,1.227450794520508,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,1,-31.825303873925563,4.791709083169425,0.8392377813589869,0.13628027491331055,-9.052577948120977e-05,0.39486734371461196,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,5,-37.15370021934969,5.385412351714983,0.9820343578149131,0.17604271613633055,0.0013992753605360786,0.6803055175002284,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,10,-31.084041032229663,6.442895535367996,0.9362391110675585,0.28541574982118856,0.0024906177823900144,1.1529972904933854,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,1,-31.828285274692924,4.794329782444025,0.8403166074603211,0.13727762747706107,2.0826844087107332e-06,0.3952755581466296,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,5,-37.311672655741056,5.443310855296365,0.9966014335486607,0.18113357035574726,9.740372532540675e-06,0.6774152035244605,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,10,-31.084041032229663,6.442895535367996,0.9362391110675585,0.28541574982118856,-6.184984101675894e-05,1.1521459428106091,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,1,-31.828285274692924,4.794329782444025,0.8403166074603211,0.13727762747706107,2.07152992159898e-06,0.39527551366488556,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,5,-37.311672655741056,5.443310855296365,0.9966014335486607,0.18113357035574726,9.624219274639856e-06,0.6774150961133318,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,10,-31.084041032229663,6.442895535367996,0.9362391110675585,0.28541574982118856,-6.228732587931773e-05,1.152145641206707,0.0
