experiment,env,seed,budget,model,one_step_rmse,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
matched_planner,coupled_oscillator_stabilization,0,64,SG-Ham+Symp,1.2120314839866426e-09,-35.457559298678774,6.641351596340784,0.16311028630846516,0.023529537264972956,-9.409181433994718e-09,1.8353087866324571,0.0
matched_planner,coupled_oscillator_stabilization,0,64,DirectGraphNext,2.0072941526813494e-05,-35.36510737000609,6.626744015036368,0.1605799618526688,0.022950000586503306,0.00035615736874428094,1.8355190948603193,0.0
matched_planner,coupled_oscillator_stabilization,0,128,SG-Ham+Symp,5.904464371527518e-10,-41.96684591428113,4.371384080071913,0.16810624254129813,0.02383200567043813,-8.20495138498245e-09,1.7523210027509606,0.0
matched_planner,coupled_oscillator_stabilization,0,128,DirectGraphNext,1.991907658901439e-05,-41.99305439941234,4.371127703190829,0.1713462007162597,0.024592607364085563,0.0003908645550752728,1.7525158276866268,0.0
matched_planner,coupled_oscillator_stabilization,0,256,SG-Ham+Symp,2.7605612915102995e-10,-29.363557547713224,4.386515361985354,0.13903692744132062,0.03793612639866074,-5.231564810988705e-09,1.7942131956607554,0.0
matched_planner,coupled_oscillator_stabilization,0,256,DirectGraphNext,1.973998858213247e-05,-29.396173713792674,4.400741778459971,0.14244548863094414,0.03918223825710557,0.00026557126715331947,1.7943696189098073,0.0
matched_planner,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,1.4165299754397257e-10,-36.04621279829065,9.8536640520373,0.16101455048613275,0.03569389299981171,-2.1576399185837167e-09,1.5893086274361157,0.0
matched_planner,coupled_oscillator_stabilization,0,512,DirectGraphNext,1.9711036711625417e-05,-36.040431260574074,9.85756215355894,0.1610332395756311,0.035822901821446464,0.0005921484512311596,1.589633727155827,0.0
matched_planner,coupled_oscillator_stabilization,0,1024,SG-Ham+Symp,6.814082811108097e-11,-31.966261532760786,8.766086163926417,0.18594397734490595,0.044727997718220294,-1.779118630196308e-09,1.2964162696635002,0.0
matched_planner,coupled_oscillator_stabilization,0,1024,DirectGraphNext,1.9700864546573394e-05,-31.966333680016586,8.766059436957299,0.18553186094432825,0.04480844102048901,0.0003705801467028813,1.2965827131492107,0.0
matched_planner,spring_chain_target,0,64,SG-Ham+Symp,1.4699904557131511e-09,-9.23704834386668,2.016784566938699,0.015671718724596467,0.008999608872547398,-1.0611616215368732e-08,0.3016362365996963,0.0
matched_planner,spring_chain_target,0,64,DirectGraphNext,1.8895407646702606e-05,-9.23704834386668,2.016784566938699,0.01567171872459647,0.008999608872547398,-5.411633063652962e-05,0.30163649552664895,0.0
matched_planner,spring_chain_target,0,128,SG-Ham+Symp,7.574309998050912e-10,-14.265002612728274,2.3490931080320974,0.012735308852043653,0.00482212838286836,-1.2515416110877217e-08,0.38128415746026456,0.0
matched_planner,spring_chain_target,0,128,DirectGraphNext,1.8915506869856838e-05,-14.25944550380777,2.3497246724898644,0.012475133386885754,0.004760556459410738,-0.0001147601943933078,0.38117136527971596,0.0
matched_planner,spring_chain_target,0,256,SG-Ham+Symp,3.761113837698661e-10,-10.893270409414683,1.315349628394725,0.005011535909347108,0.001822964803110855,-3.952482933537264e-09,0.46141405488376425,0.0
matched_planner,spring_chain_target,0,256,DirectGraphNext,1.889880575402945e-05,-10.881585436150381,1.3171934829519818,0.004889794930353395,0.0018002412223238323,-0.0001003611427402203,0.4612806084926075,0.0
matched_planner,spring_chain_target,0,512,SG-Ham+Symp,1.8253594833814842e-10,-10.531781425495835,2.623129521074805,0.012415144561547395,0.006850916038215044,-1.6541781278078815e-09,0.47814078508292873,0.0
matched_planner,spring_chain_target,0,512,DirectGraphNext,1.887560917703702e-05,-10.531781425495835,2.623129521074805,0.012415144561547395,0.006850916038215044,-8.413659867782346e-05,0.4779589086107898,0.0
matched_planner,spring_chain_target,0,1024,SG-Ham+Symp,9.219115205295639e-11,-9.672577969840402,1.083952919699949,0.02841224856070153,0.01760745140722132,-9.50534539967407e-10,0.36349557614148204,0.0
matched_planner,spring_chain_target,0,1024,DirectGraphNext,1.8884518475715012e-05,-9.67000435628864,1.0843785299362183,0.028411012540085937,0.017441994132213156,-0.00010163927463402445,0.3633656488236127,0.0
matched_planner,coupled_oscillator_stabilization,1,64,SG-Ham+Symp,1.1048057187211327e-09,-49.41680955271937,9.488421637626015,0.3066474087345528,0.07546372431311535,-4.635612886142818e-08,1.953424059910229,0.0
matched_planner,coupled_oscillator_stabilization,1,64,DirectGraphNext,1.9948502321801477e-05,-49.4497184662787,9.493117235592228,0.30895775865983494,0.07715314270901565,0.0004966725095256012,1.9537781711788733,0.0
matched_planner,coupled_oscillator_stabilization,1,128,SG-Ham+Symp,5.300378754138558e-10,-47.01122275774028,15.81012936999068,0.261842949037531,0.09766899067721617,-1.2668984824178628e-08,1.7496179798525093,0.0
matched_planner,coupled_oscillator_stabilization,1,128,DirectGraphNext,1.9806237676454577e-05,-46.9644468912349,15.830843871727597,0.2630203680766091,0.09723215841381379,0.0002518451744570882,1.7497595293684516,0.0
matched_planner,coupled_oscillator_stabilization,1,256,SG-Ham+Symp,2.6975977135360933e-10,-42.0992503369469,8.443638860311621,0.21300520772150802,0.042822253014264254,1.3340180811856801e-09,1.7314103325857724,0.0
matched_planner,coupled_oscillator_stabilization,1,256,DirectGraphNext,1.968047927488163e-05,-42.16723126928043,8.467608907753078,0.21446578658797497,0.044045604926700246,-4.2762649166139255e-05,1.7310889554797608,0.0
matched_planner,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,1.3367440692067178e-10,-46.22200770338576,10.470614540549485,0.16399040933539968,0.05743314077224848,6.463611867957297e-10,1.6583314159247633,0.0
matched_planner,coupled_oscillator_stabilization,1,512,DirectGraphNext,1.9651981711602593e-05,-46.24706292631617,10.463049498271724,0.16320920402811373,0.05785869241227095,6.952231153493453e-05,1.6582960060835568,0.0
matched_planner,coupled_oscillator_stabilization,1,1024,SG-Ham+Symp,6.709028978296021e-11,-36.06539323229201,7.57507345793646,0.19929426161343697,0.05042349072105994,-1.4052687902221805e-09,1.4135638320038428,0.0
matched_planner,coupled_oscillator_stabilization,1,1024,DirectGraphNext,1.9627089736283536e-05,-36.08407869981032,7.571119540390115,0.20081695104213113,0.04988465700541929,4.10712030755415e-05,1.4136068409646068,0.0
matched_planner,spring_chain_target,1,64,SG-Ham+Symp,1.4743820348258077e-09,-13.120907429230025,1.6344620189839292,0.02336130493040618,0.013105646794317327,-1.930587763728416e-08,0.42751289292245165,0.0
matched_planner,spring_chain_target,1,64,DirectGraphNext,1.903275831905891e-05,-13.141065296298043,1.6426298332199296,0.02406148581718107,0.013053467125568331,-3.622830901939267e-05,0.4276876471321159,0.0
matched_planner,spring_chain_target,1,128,SG-Ham+Symp,7.1286170936773e-10,-13.371302098869526,3.278638010518109,0.03657753661637376,0.020431311104274343,-8.516142309863048e-09,0.32298912508648725,0.0
matched_planner,spring_chain_target,1,128,DirectGraphNext,1.8934929351004856e-05,-13.378054783508015,3.27568368414535,0.03653825240998105,0.020477313261576542,-7.458370106183665e-05,0.32104228416572017,0.0
matched_planner,spring_chain_target,1,256,SG-Ham+Symp,3.3692613973020973e-10,-10.156662021245243,2.2029559533819327,0.02854807522244403,0.012736693992523154,-2.705502044619834e-09,0.3149863625891472,0.0
matched_planner,spring_chain_target,1,256,DirectGraphNext,1.8940398124783603e-05,-10.160444132649348,2.1992991755958244,0.02916235062957705,0.012698994745146581,-7.326207314191831e-05,0.3148114994361393,0.0
matched_planner,spring_chain_target,1,512,SG-Ham+Symp,1.6740703698405644e-10,-11.591425586823702,2.2159248980994533,0.040932030180130426,0.025451332130706265,-1.782663794358541e-09,0.4964803428897495,0.0
matched_planner,spring_chain_target,1,512,DirectGraphNext,1.8957504159340335e-05,-11.591425586823702,2.2159248980994533,0.040932030180130426,0.025451332130706265,-6.303633611781656e-05,0.49643245323731905,0.0
matched_planner,spring_chain_target,1,1024,SG-Ham+Symp,8.714844258835269e-11,-11.656133227188425,2.453615214477744,0.008562569321910903,0.004245843847414892,-1.1645286216814081e-09,0.42117417845574306,0.0
matched_planner,spring_chain_target,1,1024,DirectGraphNext,1.894772027991074e-05,-11.660385362712715,2.453009511633665,0.00862917871325035,0.004248267724957362,-9.201759388307214e-05,0.4211751173266236,0.0
matched_planner,coupled_oscillator_stabilization,2,64,SG-Ham+Symp,1.2055997593407021e-09,-54.57368585251768,11.105843475195634,0.3074024587571189,0.16350954169235093,-1.9742358562761336e-08,1.6913956544681579,0.0
