experiment,train_topology,test_topology,seed,model,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
topology_transfer,chain,chain,0,SG-Ham+Symp,1.0046626033672744e-09,0.0008229508423418484,0.0005018068280718658,0.0
topology_transfer,chain,cycle,0,SG-Ham+Symp,9.600532316612141e-10,0.0008555022903047473,0.0005020112257887215,0.0
topology_transfer,chain,star,0,SG-Ham+Symp,1.487919799202382e-09,0.0014898295641103756,0.0004296590716204425,0.0
topology_transfer,chain,grid,0,SG-Ham+Symp,8.439764650655711e-10,0.001188918345300985,0.0005504051534068083,0.0
topology_transfer,chain,er,0,SG-Ham+Symp,1.1831764342251294e-09,0.0018674221029668836,0.0010216277130168574,0.0
topology_transfer,chain,chain,0,DirectGraphNext,0.00022667043993284343,0.0008180278330338751,0.000468490261449293,0.0
topology_transfer,chain,cycle,0,DirectGraphNext,0.0002285031995767865,0.0008472176811542979,0.0004688416907692808,0.0
topology_transfer,chain,star,0,DirectGraphNext,0.005378848896282202,0.0015456572300317241,0.0014861008573900916,0.0
topology_transfer,chain,grid,0,DirectGraphNext,0.0007752437591599168,0.0010529335073988769,0.0003702987838611076,0.0
topology_transfer,chain,er,0,DirectGraphNext,0.0030174990722893146,0.0012360009186562484,0.00023502121234107988,0.0
topology_transfer,chain,chain,0,GraphEuler,0.0002266730115240348,0.0008179981279830533,0.0004683707407619933,0.0
topology_transfer,chain,cycle,0,GraphEuler,0.00022850470060222677,0.0008471953563571457,0.00046873330837366654,0.0
topology_transfer,chain,star,0,GraphEuler,0.0053788314769203475,0.0015453650292609111,0.0014858759497186017,0.0
topology_transfer,chain,grid,0,GraphEuler,0.0007752388659823573,0.00105295005034196,0.00037038757218493297,0.0
topology_transfer,chain,er,0,GraphEuler,0.003017479416418403,0.0012360783381752368,0.00023491224778191761,0.0
topology_transfer,chain,chain,0,SympNoGraph,0.6757732983354504,0.10338782801726594,0.05003125512297387,0.0
topology_transfer,chain,cycle,0,SympNoGraph,0.6736079973794847,0.09686579676843743,0.04512787614525662,0.0
topology_transfer,chain,star,0,SympNoGraph,0.6621915539658856,0.2198948871053774,0.12293991372866946,0.0
topology_transfer,chain,grid,0,SympNoGraph,0.8469059757011269,0.1507746822210675,0.06031105135269116,0.0
topology_transfer,chain,er,0,SympNoGraph,1.2578421123900638,0.2960417126477535,0.1410882904897564,0.0
topology_transfer,chain,chain,1,SG-Ham+Symp,9.365502185709992e-10,0.0008259365929685017,0.000523638254828308,0.0
topology_transfer,chain,cycle,1,SG-Ham+Symp,8.898306532054442e-10,0.0008299483937105919,0.0005273036224481821,0.0
topology_transfer,chain,star,1,SG-Ham+Symp,1.2994047499780503e-09,0.001166952049149124,0.00033992741248034617,0.0
topology_transfer,chain,grid,1,SG-Ham+Symp,7.745109925180135e-10,0.0011669812428121938,0.0005167983716782845,0.0
topology_transfer,chain,er,1,SG-Ham+Symp,1.170535215514981e-09,0.0018314850782668295,0.0009319947963071134,0.0
topology_transfer,chain,chain,1,DirectGraphNext,0.00021929828821422848,0.000824413279526781,0.0005080635397301821,0.0
topology_transfer,chain,cycle,1,DirectGraphNext,0.00021458172917559592,0.000829532498076296,0.0005114826925238071,0.0
topology_transfer,chain,star,1,DirectGraphNext,0.003954719888851543,0.0012840463122121757,0.0011478436559269356,0.0
topology_transfer,chain,grid,1,DirectGraphNext,0.0008231944286921734,0.0010020455973262516,0.0003151805588671758,0.0
topology_transfer,chain,er,1,DirectGraphNext,0.0030849653697463167,0.0011731346779441626,0.0004155048410812605,0.0
topology_transfer,chain,chain,1,GraphEuler,0.00021929599347889688,0.000824381923135988,0.0005079507143657458,0.0
topology_transfer,chain,cycle,1,GraphEuler,0.00021457864222357076,0.0008295084316895977,0.000511383297663448,0.0
topology_transfer,chain,star,1,GraphEuler,0.003954704472102718,0.0012838384450694694,0.0011477052905351592,0.0
topology_transfer,chain,grid,1,GraphEuler,0.0008231874019501195,0.0010020656009298013,0.0003152724342431531,0.0
topology_transfer,chain,er,1,GraphEuler,0.003084942510346652,0.0011731228025088326,0.000415125083730251,0.0
topology_transfer,chain,chain,1,SympNoGraph,0.646159353575955,0.10221076407084372,0.05269074475530505,0.0
topology_transfer,chain,cycle,1,SympNoGraph,0.6362175934298349,0.09951195296725708,0.049105359744993284,0.0
topology_transfer,chain,star,1,SympNoGraph,0.5760106483139465,0.21647596292610438,0.08494878117109632,0.0
topology_transfer,chain,grid,1,SympNoGraph,0.8301142171077812,0.15548543005456059,0.054751649402042434,0.0
topology_transfer,chain,er,1,SympNoGraph,1.1771797270271487,0.27940229651817966,0.12717408875484934,0.0
topology_transfer,chain,chain,2,SG-Ham+Symp,1.0533535526029231e-09,0.000866731296000233,0.0006140418372281069,0.0
topology_transfer,chain,cycle,2,SG-Ham+Symp,9.766867841703036e-10,0.0008926323621036769,0.0005973072195114563,0.0
topology_transfer,chain,star,2,SG-Ham+Symp,1.4828863721053831e-09,0.001410605595346925,0.0004729435106651259,0.0
topology_transfer,chain,grid,2,SG-Ham+Symp,8.921519219478373e-10,0.0012161274366623788,0.0005761642220597061,0.0
topology_transfer,chain,er,2,SG-Ham+Symp,1.0841099587186653e-09,0.0016086130366272002,0.0009025213858737622,0.0
topology_transfer,chain,chain,2,DirectGraphNext,0.00023137997326170483,0.0008548195139995585,0.0006005092661143598,0.0
topology_transfer,chain,cycle,2,DirectGraphNext,0.0002283490620121612,0.000883532712679768,0.0005828539813104969,0.0
topology_transfer,chain,star,2,DirectGraphNext,0.005102583247944127,0.0015348939154774532,0.0014329971713043534,0.0
topology_transfer,chain,grid,2,DirectGraphNext,0.0009605747031623509,0.0010334461964928026,0.0003323309561612022,0.0
topology_transfer,chain,er,2,DirectGraphNext,0.0023212919520109883,0.001146223338638688,0.0002356025307591594,0.0
topology_transfer,chain,chain,2,GraphEuler,0.00023137623535110432,0.0008547656340831708,0.000600393747722703,0.0
topology_transfer,chain,cycle,2,GraphEuler,0.00022834325815569899,0.0008835045703445505,0.0005827623075178312,0.0
topology_transfer,chain,star,2,GraphEuler,0.005102558510394856,0.0015346086691497677,0.001432807029869648,0.0
topology_transfer,chain,grid,2,GraphEuler,0.0009605647854087859,0.0010334638079253493,0.0003324086734549989,0.0
topology_transfer,chain,er,2,GraphEuler,0.0023212675888172776,0.001146271104890373,0.00023554555544454762,0.0
topology_transfer,chain,chain,2,SympNoGraph,0.708481133620833,0.10812990730667686,0.05076222296103263,0.0
topology_transfer,chain,cycle,2,SympNoGraph,0.6999794621877711,0.0986744482340653,0.04839072378254378,0.0
topology_transfer,chain,star,2,SympNoGraph,0.6560054579045688,0.22390743570312446,0.0884376618590292,0.0
topology_transfer,chain,grid,2,SympNoGraph,0.9063262574606533,0.16717061561414334,0.06889021970701896,0.0
topology_transfer,chain,er,2,SympNoGraph,1.1503034820705555,0.2556466319523711,0.1117025356106743,0.0
topology_transfer,chain,chain,3,SG-Ham+Symp,1.008731627091559e-09,0.0007913529787984022,0.0004889217416699448,0.0
topology_transfer,chain,cycle,3,SG-Ham+Symp,9.65631165148766e-10,0.0008320447672624523,0.0005378731481349155,0.0
topology_transfer,chain,star,3,SG-Ham+Symp,1.4088937399556728e-09,0.0013642956869491657,0.00045454478059015624,0.0
topology_transfer,chain,grid,3,SG-Ham+Symp,8.420779929118266e-10,0.0011619148944947656,0.0005401211242806962,0.0
topology_transfer,chain,er,3,SG-Ham+Symp,9.274676472028756e-10,0.001531932465222254,0.0009046222808296731,0.0
topology_transfer,chain,chain,3,DirectGraphNext,0.00022769618539355654,0.0007965709593864027,0.00048589321523242237,0.0
topology_transfer,chain,cycle,3,DirectGraphNext,0.00021948491085781936,0.0008318296319964246,0.0005368151353708065,0.0
topology_transfer,chain,star,3,DirectGraphNext,0.004648357548123308,0.0013272572923350623,0.0012251369287440347,0.0
topology_transfer,chain,grid,3,DirectGraphNext,0.0008931581025925029,0.0010187518098512837,0.0003643358741311303,0.0
topology_transfer,chain,er,3,DirectGraphNext,0.0019914485782479667,0.0011375458851933262,0.0003198491352847667,0.0
topology_transfer,chain,chain,3,GraphEuler,0.00022770007954289124,0.0007965298703559547,0.0004858048555168171,0.0
topology_transfer,chain,cycle,3,GraphEuler,0.00021948799069476525,0.0008317928820016931,0.0005367232019810597,0.0
topology_transfer,chain,star,3,GraphEuler,0.004648341089641937,0.0013269943097750873,0.0012249832878449718,0.0
topology_transfer,chain,grid,3,GraphEuler,0.0008931525327177606,0.0010187726508727197,0.0003644470807899275,0.0
topology_transfer,chain,er,3,GraphEuler,0.001991430087371937,0.001137600872790199,0.000320155515595917,0.0
topology_transfer,chain,chain,3,SympNoGraph,0.6499466651016362,0.1075703437905929,0.05038113720704531,0.0
topology_transfer,chain,cycle,3,SympNoGraph,0.6578199072578289,0.10581914984086567,0.05325176771211356,0.0
topology_transfer,chain,star,3,SympNoGraph,0.6166104102967069,0.159334685150013,0.08377936156985971,0.0
topology_transfer,chain,grid,3,SympNoGraph,0.8519915030729831,0.15221060917862675,0.055911496680975205,0.0
