experiment,env,seed,budget,model,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate,rollout_rmse,max_energy_drift
ablation,coupled_oscillator_stabilization,0,512,DenseLinearNext,-43.795751651504425,7.956884700234183,0.1985937072498122,0.07473447432604491,5.265652732511228e-06,1.9703401395017839,0.0,1.743796476795428e-06,0.0008822924885265997
ablation,coupled_oscillator_stabilization,0,512,DirectGraphNext,-43.95498091741329,7.973444532020606,0.20236790688053785,0.07407964365478266,0.0006849266464842666,1.9706855454419285,0.0,0.00022365531026272037,0.0008868022859559045
ablation,coupled_oscillator_stabilization,0,512,SympNoGraph,-44.461301542537505,8.118387007053887,0.22886501655926197,0.08296247268802277,0.75772784186035,2.1264729205989035,0.0,0.6729381031352006,0.15638890380892057
ablation,coupled_oscillator_stabilization,0,512,GraphEuler,-43.95498091741329,7.973444532020606,0.20236790688053785,0.07407964365478266,0.0006845348885734145,1.9706853086146203,0.0,0.00022364292706265792,0.0008866292693171487
ablation,coupled_oscillator_stabilization,0,512,SG-Ham+Symp,-43.795751651504425,7.956884700234183,0.1985937072498122,0.07473447432604491,-3.30913518808984e-09,1.9703354836332092,0.0,3.950058456172575e-09,0.0008801111765125173
ablation,spring_chain_target,0,512,DenseLinearNext,-11.193910410459281,1.5075216950691825,0.01152439389487537,0.0038748772081731437,1.5137781589717274e-06,0.4978126501175832,0.0,6.756306071708244e-06,0.0011199292926683622
ablation,spring_chain_target,0,512,DirectGraphNext,-11.196085653447271,1.5077949933021582,0.01176067113679654,0.003957490322695333,-4.628943833277314e-05,0.4977982454047601,0.0,0.00014637287621249194,0.0011219793261253892
ablation,spring_chain_target,0,512,SympNoGraph,-11.204318060455508,1.5373323022670118,0.012298390363260393,0.003667163092363579,-0.020145047375587904,0.5497238528590986,0.0,0.4404426178565024,0.17022633449257307
ablation,spring_chain_target,0,512,GraphEuler,-11.196085653447271,1.5077949933021582,0.01176067113679654,0.003957490322695333,-4.63858051317582e-05,0.49779871177308305,0.0,0.00014627570065102363,0.0011209085725513326
ablation,spring_chain_target,0,512,SG-Ham+Symp,-11.193910410459281,1.5075216950691825,0.01152439389487537,0.0038748772081731437,-1.575613121455414e-09,0.4978169342261172,0.0,5.169886873752877e-09,0.0011072795173097199
