experiment,topology,seed,train_sizes,test_size,model,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
graph_size_transfer,chain,2,4+8+16,64,SG-Ham+Symp,1.5700066514036496e-09,0.0008616782660365744,0.0005881341627489005,0.0
graph_size_transfer,chain,2,4+8+16,128,SG-Ham+Symp,1.5719323769335346e-09,0.0008373177987181958,0.0005659812486580617,0.0
graph_size_transfer,chain,2,4+8+16,256,SG-Ham+Symp,1.571784390364512e-09,0.0008523602835561233,0.0005821024729355435,0.0
graph_size_transfer,chain,2,4+8+16,32,DirectGraphNext,0.0002311945629669675,0.000789557172654028,0.0004626435736787099,0.0
graph_size_transfer,chain,2,4+8+16,64,DirectGraphNext,0.0002331069098752395,0.0008595684711001396,0.0005518606624261671,0.0
graph_size_transfer,chain,2,4+8+16,128,DirectGraphNext,0.00023359922517793996,0.000827909359575716,0.0005154805303241621,0.0
graph_size_transfer,chain,2,4+8+16,256,DirectGraphNext,0.00023352160557299105,0.0008449260206858893,0.0005374590283886051,0.0
graph_size_transfer,chain,2,4+8+16,32,GraphEuler,0.0002311874990501586,0.0007895285849523631,0.000462488017676953,0.0
graph_size_transfer,chain,2,4+8+16,64,GraphEuler,0.00023309968239295176,0.0008595385706946217,0.0005517007384729597,0.0
graph_size_transfer,chain,2,4+8+16,128,GraphEuler,0.00023359104757723366,0.0008278824672684536,0.0005153363548808098,0.0
graph_size_transfer,chain,2,4+8+16,256,GraphEuler,0.00023351453732911898,0.0008448995708646443,0.0005373133416526501,0.0
graph_size_transfer,chain,2,4+8+16,32,SympNoGraph,0.697055911718506,0.07487907925066038,0.02928931999106247,0.0
graph_size_transfer,chain,2,4+8+16,64,SympNoGraph,0.6798657415698336,0.05563187424483015,0.020196727848962336,0.0
graph_size_transfer,chain,2,4+8+16,128,SympNoGraph,0.6925602660251715,0.04597783734291636,0.01743371626148634,0.0
graph_size_transfer,chain,2,4+8+16,256,SympNoGraph,0.6913872890824683,0.03661729666016903,0.014076898496042397,0.0
graph_size_transfer,grid,2,4x4,64,SG-Ham+Symp,9.76633711576908e-10,0.0013809712136043648,0.0007509939279035149,0.0
graph_size_transfer,grid,2,4x4,256,SG-Ham+Symp,9.645717786127645e-10,0.0014256287205561189,0.0008021578049672049,0.0
graph_size_transfer,grid,2,4x4,64,DirectGraphNext,0.0006786334883206732,0.0013954596640257885,0.000796332444848371,0.0
graph_size_transfer,grid,2,4x4,256,DirectGraphNext,0.0007360403984166781,0.0014129318457294174,0.0008117110805722102,0.0
graph_size_transfer,grid,2,4x4,64,GraphEuler,0.0006786299259231841,0.0013954590330322798,0.0007963215987455372,0.0
graph_size_transfer,grid,2,4x4,256,GraphEuler,0.0007360366033590109,0.0014129376834956491,0.0008117352199050828,0.0
graph_size_transfer,grid,2,4x4,64,SympNoGraph,0.8063663511006367,0.078207414013477,0.07280485304343184,0.0
graph_size_transfer,grid,2,4x4,256,SympNoGraph,0.8599585603829389,0.089045228064566,0.08707544514713778,0.0
graph_size_transfer,chain,3,4+8+16,32,SG-Ham+Symp,1.4942531159128292e-09,0.00087645474114107,0.0005958007694632367,0.0
graph_size_transfer,chain,3,4+8+16,64,SG-Ham+Symp,1.5123008786456078e-09,0.0008666012033109914,0.0005666389825148628,0.0
graph_size_transfer,chain,3,4+8+16,128,SG-Ham+Symp,1.532670792774738e-09,0.0008351312897908532,0.0005473238898026051,0.0
graph_size_transfer,chain,3,4+8+16,256,SG-Ham+Symp,1.5400697852521544e-09,0.0008606945131317236,0.0005768218197454554,0.0
graph_size_transfer,chain,3,4+8+16,32,DirectGraphNext,0.00021977295036232136,0.0008754372123350775,0.000601404272347067,0.0
graph_size_transfer,chain,3,4+8+16,64,DirectGraphNext,0.0002252598118311217,0.0008667993995749501,0.0005756295934427056,0.0
graph_size_transfer,chain,3,4+8+16,128,DirectGraphNext,0.00023145231850917432,0.0008366320475964138,0.0005558617708087953,0.0
graph_size_transfer,chain,3,4+8+16,256,DirectGraphNext,0.0002355707891216965,0.000864694989075684,0.0005904816694158019,0.0
graph_size_transfer,chain,3,4+8+16,32,GraphEuler,0.00021977884318374248,0.0008754069220227272,0.0006012601263403462,0.0
graph_size_transfer,chain,3,4+8+16,64,GraphEuler,0.0002252648975573081,0.0008667747354795072,0.0005754925693978061,0.0
graph_size_transfer,chain,3,4+8+16,128,GraphEuler,0.00023145737475096612,0.0008366064970219472,0.0005557210412416416,0.0
graph_size_transfer,chain,3,4+8+16,256,GraphEuler,0.0002355754209822472,0.000864669585339011,0.0005903428767073994,0.0
graph_size_transfer,chain,3,4+8+16,32,SympNoGraph,0.6664176410165209,0.0722913214246097,0.026447774311453186,0.0
graph_size_transfer,chain,3,4+8+16,64,SympNoGraph,0.6767516508100762,0.05731627280305455,0.02079409683509475,0.0
graph_size_transfer,chain,3,4+8+16,128,SympNoGraph,0.678512342928693,0.03713487757679298,0.016520627512026043,0.0
graph_size_transfer,chain,3,4+8+16,256,SympNoGraph,0.690198797322952,0.03455077875306334,0.009996905258478484,0.0
graph_size_transfer,grid,3,4x4,64,SG-Ham+Symp,1.0717361846283617e-09,0.001279941626966611,0.0006644257099162414,0.0
graph_size_transfer,grid,3,4x4,256,SG-Ham+Symp,9.592888226708587e-10,0.0014285405566153736,0.0007702915661370819,0.0
graph_size_transfer,grid,3,4x4,64,DirectGraphNext,0.0007027567506484949,0.0012523871851355403,0.0005195779672764686,0.0
graph_size_transfer,grid,3,4x4,256,DirectGraphNext,0.0007472689554288793,0.001371868265100799,0.000583281089961591,0.0
graph_size_transfer,grid,3,4x4,64,GraphEuler,0.0007027509494352838,0.0012523840694532334,0.0005195499520521819,0.0
graph_size_transfer,grid,3,4x4,256,GraphEuler,0.0007472596040084565,0.0013718747978686697,0.000583310943085452,0.0
graph_size_transfer,grid,3,4x4,64,SympNoGraph,0.8306656548098311,0.06490177050348833,0.0617998913816702,0.0
graph_size_transfer,grid,3,4x4,256,SympNoGraph,0.8498238814979936,0.094179645982307,0.09253118012873228,0.0
graph_size_transfer,chain,4,4+8+16,32,SG-Ham+Symp,1.5861486887388907e-09,0.0007750298038142261,0.0005226866467756843,0.0
graph_size_transfer,chain,4,4+8+16,64,SG-Ham+Symp,1.6143585016895488e-09,0.0008322135130707158,0.0005559279414418356,0.0
graph_size_transfer,chain,4,4+8+16,128,SG-Ham+Symp,1.585929434719418e-09,0.0008325616081446956,0.0005755230606297985,0.0
graph_size_transfer,chain,4,4+8+16,256,SG-Ham+Symp,1.5587995656826646e-09,0.0008759098129744898,0.0005760134155784523,0.0
graph_size_transfer,chain,4,4+8+16,32,DirectGraphNext,0.00021826904526460128,0.0007839584085006038,0.0005537215432397309,0.0
graph_size_transfer,chain,4,4+8+16,64,DirectGraphNext,0.00023042226269666643,0.0008346023389708039,0.0005855722086424823,0.0
graph_size_transfer,chain,4,4+8+16,128,DirectGraphNext,0.00023056406021490318,0.0008423888507382021,0.0006112949438927566,0.0
graph_size_transfer,chain,4,4+8+16,256,DirectGraphNext,0.00023585937078781844,0.0008859311080599433,0.0006138148504079815,0.0
graph_size_transfer,chain,4,4+8+16,32,GraphEuler,0.00021827177840663095,0.0007839114017085674,0.0005535508263595734,0.0
graph_size_transfer,chain,4,4+8+16,64,GraphEuler,0.0002304258080813304,0.0008345603155252869,0.0005854280040852114,0.0
graph_size_transfer,chain,4,4+8+16,128,GraphEuler,0.0002305659478149829,0.0008423611940381305,0.0006111454101300062,0.0
graph_size_transfer,chain,4,4+8+16,256,GraphEuler,0.0002358605174661458,0.0008859071042168917,0.0006136823360975005,0.0
graph_size_transfer,chain,4,4+8+16,32,SympNoGraph,0.6648075006227281,0.059389672507301074,0.02408709797293988,0.0
graph_size_transfer,chain,4,4+8+16,64,SympNoGraph,0.7024668981321995,0.05629803308371702,0.022553171909383395,0.0
graph_size_transfer,chain,4,4+8+16,128,SympNoGraph,0.6860699809237572,0.0317294408592882,0.010421145801029853,0.0
graph_size_transfer,chain,4,4+8+16,256,SympNoGraph,0.6898579540595283,0.040552495607629246,0.0129571508364088,0.0
graph_size_transfer,grid,4,4x4,64,SG-Ham+Symp,1.0667671689613393e-09,0.0013372238693067286,0.0007526409926289779,0.0
graph_size_transfer,grid,4,4x4,256,SG-Ham+Symp,9.502880795386472e-10,0.0013929767834749906,0.0007204999498020902,0.0
graph_size_transfer,grid,4,4x4,64,DirectGraphNext,0.0007598655474864976,0.0012875347292352953,0.0006308016308362551,0.0
graph_size_transfer,grid,4,4x4,256,DirectGraphNext,0.0007238054864844691,0.0013532053160558077,0.0005924205249126825,0.0
graph_size_transfer,grid,4,4x4,64,GraphEuler,0.0007598542967680964,0.0012875369856035523,0.0006308042378009425,0.0
graph_size_transfer,grid,4,4x4,256,GraphEuler,0.000723793513156564,0.0013532122980617779,0.0005924523433457983,0.0
graph_size_transfer,grid,4,4x4,64,SympNoGraph,0.8718811843633686,0.074557398629353,0.06779545573556318,0.0
graph_size_transfer,grid,4,4x4,256,SympNoGraph,0.8455260365771596,0.0892207516578973,0.08651118476974651,0.0
