env,task,graph,n,dim,seed,budget,method,status,seconds,parameters,return_mean,return_se,terminal_error_mean,terminal_error_se,success_rate,mpc_failure_rate,exploitation_gap_mean,imagined_energy_drift_mean,one_step_rmse
linear_oscillator,stabilization,chain,8,1,0,1000,SG-MBRL,ok,4664.946888923645,170275,-14.894301166753172,0.9684988294259805,0.06276202492415905,0.004222773475499744,0.42,0.0,-0.0003787139457464472,1.4111213733667984,0.0008462447281861517
linear_oscillator,stabilization,chain,8,1,0,1000,DirectGNN-MPC,ok,653.1427159309387,17794,-17.145421676699517,1.3219328664940169,0.06567604888230562,0.005195478983761356,0.46,0.0,-0.008795066935420088,1.4277582413404193,0.0006684226667682313
linear_oscillator,stabilization,chain,8,1,0,1000,PETS-DirectGNN,ok,1720.0754318237305,88970,-17.923290660592617,1.246493122728674,0.06477253228425979,0.004926034378710734,0.4,0.0,0.008842577646970558,1.9962728666705238,0.0003658040545264838
linear_oscillator,stabilization,chain,8,1,0,1000,MBPO-SAC,ok,120.00411820411682,88970,-20.850125437147618,1.5563927536298852,0.16491930156946183,0.010896943240539102,0.0,0.0,,,
linear_oscillator,stabilization,chain,8,1,0,1000,HNN-MPC,ok,924.4572410583496,34055,-18.907901708848772,1.439957082140551,0.0985303470492363,0.00911652422587382,0.26,0.0,0.2455460953223707,1.4375197802469524,0.01650870281682515
linear_oscillator,stabilization,chain,8,1,0,1000,MLP-MPC,ok,559.6354999542236,21776,-14.712884825667441,0.9430199719379904,0.06950346760451794,0.004680674484740563,0.3,0.0,0.022880875439643983,1.3055225033202214,0.003317798223408643
linear_oscillator,stabilization,chain,8,1,0,1000,NoControl,ok,0.05282878875732422,0,-41.93687879502773,2.7581576065606876,0.8573332667350769,0.055854090545626796,0.0,0.0,,,
linear_oscillator,stabilization,chain,8,1,0,1000,Random,ok,0.056291818618774414,0,-50.26083669592143,2.274032253331509,1.1360844159126282,0.0594506792919965,0.0,0.0,,,
linear_oscillator,stabilization,chain,8,1,0,2500,SG-MBRL,ok,62565.886243104935,170275,-17.16425653757498,1.3011003329869406,0.06026190809905529,0.004319022498468373,0.44,0.0,-0.0002685074615478644,1.7030319702129133,0.0006165769842275952
