env,task,graph,seed,budget,method,horizon,rollout_rmse,rollout_rmse_se,energy_drift,energy_drift_se,divergence_rate
duffing_chain,stabilization,chain,0,32,SG-MBRL,1,0.00462367688305676,0.00038952031172811985,0.02007115405217652,0.00850508824373619,0.0
duffing_chain,stabilization,chain,0,32,SG-MBRL,5,0.02678973600268364,0.01421212777495384,0.11344692777562279,0.06672310766614445,0.0
duffing_chain,stabilization,chain,0,32,SG-MBRL,10,0.05735260061919689,0.013814592733979223,0.19161624565680546,0.029334032073379146,0.0
duffing_chain,stabilization,chain,0,32,DirectGNN-MPC,1,0.11255459487438202,0.02235317230224609,0.6904727379076809,0.6640000953173528,0.0
duffing_chain,stabilization,chain,0,32,DirectGNN-MPC,5,0.3933175206184387,0.03392541408538818,0.6224276314539492,0.008914203804436747,0.0
duffing_chain,stabilization,chain,0,32,DirectGNN-MPC,10,0.42538340389728546,0.022115483880043026,0.8411256654328712,0.22101177933802663,0.0
duffing_chain,stabilization,chain,0,32,PETS-DirectGNN,1,0.10555163398385048,0.018225904554128647,0.0861074899374702,0.08405977587759948,0.0
duffing_chain,stabilization,chain,0,32,PETS-DirectGNN,5,0.5326401591300964,0.2084466218948364,7.7144644073278705,5.25486347050599,0.0
duffing_chain,stabilization,chain,0,32,PETS-DirectGNN,10,0.8369462192058563,0.06735226511955261,69.60332687472997,27.261477021320765,0.0
